YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2005,19,60375,94991,CarFax
2015,9,31190,135900,CarFax
2004,20,38962,119998,CarFax
2007,17,38000,125000,CarFax
2014,10,24322,129996,CarFax
2016,8,41292,131900,CarFax
2014,10,23501,136998,CarFax
2014,10,23501,136998,CarFax
2004,20,20313,139900,CarFax
2015,9,18581,139951,CarFax
2007,17,52595,141676,CarFax
2014,10,9769,144995,CarFax
2015,9,15333,144995,CarFax
2016,8,24401,146477,CarFax
2007,17,49921,146527,CarFax
2015,9,17345,148900,CarFax
2016,8,18258,149118,CarFax
2015,9,15345,149490,CarFax
2015,9,14078,152777,CarFax
2005,19,8129,154991,CarFax
2016,8,4289,159888,CarFax
2018,6,41264,163995,CarFax
2018,6,30240,167979,CarFax
2007,17,22611,174900,CarFax
2018,6,12976,187991,CarFax
2011,13,20500,199900,CarFax
2010,14,24024,199991,CarFax
2010,14,6845,239995,CarFax
2022,2,4250,262995,CarFax
2022,2,511,279995,CarFax
2019,5,228,299900,CarFax
2022,2,1370,329995,CarFax
2007,17,30451,119750,Autotrader
2014,10,24596,130000,Autotrader
2016,8,46242,132900,Autotrader
2004,20,21180,133777,Autotrader
2004,20,20322,122300,Autotrader
2007,17,40301,146997,Autotrader
2015,9,17345,148900,Autotrader
2016,8,18258,149117,Autotrader
2005,19,7994,154991,Autotrader
2015,9,5122,157900,Autotrader
2011,13,8350,174999,Autotrader
2018,6,16420,184888,Autotrader
2018,6,10804,186900,Autotrader
2018,6,4850,215500,Autotrader
2018,6,6453,219890,Autotrader
2022,2,1589,277000,Autotrader
2023,1,231,281995,Autotrader
2022,2,7618,289998,Autotrader
2023,1,90,314900,Autotrader
2024,0,0,297000,Porsche Marin
