Date,Close/Last,Volume,Open,High,Low,Day
09/18/2024,$456.60,3065217,$458.08,$459.84,$454.8801,2516
09/17/2024,$456.68,3824256,$453.50,$461.10,$453.29,2515
09/16/2024,$451.78,3264367,$448.80,$452.99,$448.34,2514
09/13/2024,$447.61,3882598,$451.58,$452.4285,$447.21,2513
09/12/2024,$450.87,3855713,$454.84,$455.00,$449.27,2512
09/11/2024,$453.10,5772729,$457.62,$457.62,$445.25,2511
09/10/2024,$458.92,3544103,$461.82,$464.32,$456.21,2510
09/09/2024,$459.61,4571041,$463.97,$466.00,$459.26,2509
09/06/2024,$459.42,4400294,$463.82,$468.17,$458.55,2508
09/05/2024,$464.92,6213155,$479.43,$479.43,$462.88,2507
09/04/2024,$478.57,5316318,$478.68,$484.82,$474.22,2506
09/03/2024,$476.83,7511879,$475.00,$482.89,$473.72,2505
08/30/2024,$475.92,7465778,$470.52,$476.95,$470.00,2504
08/29/2024,$468.37,4459412,$467.11,$469.85,$463.00,2503
08/28/2024,$464.59,4838124,$461.17,$466.60,$460.78,2502
08/27/2024,$460.63,3764691,$455.94,$462.10,$454.62,2501
08/26/2024,$454.49,3578262,$455.305,$459.2699,$453.34,2500
08/23/2024,$453.38,2805379,$450.00,$453.72,$448.81,2499
08/22/2024,$449.03,3502793,$446.30,$449.60,$444.65,2498
08/21/2024,$446.60,3028530,$449.84,$451.28,$443.84,2497
08/20/2024,$448.36,2906497,$449.30,$450.50,$446.38,2496
08/19/2024,$448.77,3385343,$446.01,$450.45,$445.73,2495
08/16/2024,$444.51,3344974,$441.55,$445.204,$440.4545,2494
08/15/2024,$440.84,3226437,$441.80,$442.59,$438.72,2493
08/14/2024,$438.47,2860174,$433.00,$438.98,$431.71,2492
08/13/2024,$432.41,3471965,$431.83,$432.81,$425.90,2491
08/12/2024,$430.39,2376042,$434.16,$434.16,$429.01,2490
08/09/2024,$431.67,2602645,$431.92,$434.75,$430.21,2489
08/08/2024,$431.54,3149984,$429.24,$432.2599,$427.60,2488
08/07/2024,$427.02,4745587,$426.07,$433.17,$425.60,2487
08/06/2024,$422.14,5138707,$416.41,$427.46,$415.10,2486
08/05/2024,$413.72,7695125,$413.43,$417.82,$406.11,2485
08/02/2024,$428.36,4251527,$429.77,$436.25,$423.4901,2484
08/01/2024,$431.81,3892292,$439.67,$440.61,$430.95,2483
07/31/2024,$438.50,3798765,$439.85,$440.85,$437.74,2482
07/30/2024,$441.26,3736411,$439.51,$443.8905,$439.14,2481
07/29/2024,$438.31,2619986,$438.01,$439.44,$435.49,2480
07/26/2024,$437.66,2717621,$435.66,$439.00,$434.10,2479
07/25/2024,$433.29,3334269,$431.60,$439.625,$431.60,2478
07/24/2024,$432.80,3143717,$433.99,$435.41,$430.73,2477
07/23/2024,$434.01,2393018,$437.34,$437.92,$433.47,2476
07/22/2024,$435.98,2995689,$435.05,$438.11,$432.12,2475
07/19/2024,$434.47,4158849,$442.67,$442.80,$433.35,2474
07/18/2024,$441.82,4638333,$445.62,$449.25,$439.57,2473
07/17/2024,$445.61,4776601,$437.85,$446.15,$437.84,2472
07/16/2024,$438.90,4293707,$437.40,$439.0516,$434.0201,2471
07/15/2024,$434.42,4594912,$425.59,$434.71,$425.30,2470
07/12/2024,$424.44,4834635,$420.23,$427.45,$419.70,2469
07/11/2024,$418.78,4073570,$413.99,$419.20,$412.00,2468
07/10/2024,$413.79,3791805,$410.81,$413.96,$409.40,2467
07/09/2024,$410.52,2990262,$409.42,$413.71,$408.64,2466
07/08/2024,$409.08,3559529,$411.27,$413.7855,$408.00,2465
07/05/2024,$411.17,5153464,$406.24,$411.40,$405.03,2464
07/03/2024,$405.77,1970259,$407.16,$407.16,$404.22,2463
07/02/2024,$407.10,3221572,$404.02,$407.39,$403.92,2462
07/01/2024,$405.19,2976899,$408.09,$409.67,$403.82,2461
06/28/2024,$406.80,6820908,$408.25,$410.05,$405.79,2460
06/27/2024,$407.95,3220281,$410.26,$410.26,$406.34,2459
06/26/2024,$410.26,3335507,$410.02,$410.68,$407.25,2458
06/25/2024,$410.97,3883522,$414.00,$414.25,$409.62,2457
06/24/2024,$413.98,4935716,$410.70,$417.00,$410.00,2456
06/21/2024,$409.62,9012935,$409.82,$410.4673,$407.68,2455
06/20/2024,$409.15,4845563,$407.25,$411.00,$404.05,2454
06/18/2024,$407.95,4006848,$406.745,$408.50,$405.28,2453
06/17/2024,$407.32,3408255,$405.18,$407.815,$403.5501,2452
06/14/2024,$405.54,2772449,$404.90,$406.34,$403.33,2451
06/13/2024,$405.92,4566105,$407.63,$408.00,$403.5711,2450
06/12/2024,$408.77,3554031,$411.09,$411.891,$407.16,2449
06/11/2024,$408.50,3610600,$408.88,$408.91,$406.11,2448
06/10/2024,$410.81,2668443,$413.34,$413.94,$409.27,2447
06/07/2024,$413.72,2943072,$411.28,$415.88,$409.8451,2446
06/06/2024,$411.08,3447914,$410.42,$411.24,$407.38,2445
06/05/2024,$409.85,2643906,$410.10,$410.275,$405.77,2444
06/04/2024,$409.53,4157980,$414.85,$415.89,$406.4401,2443
06/03/2024,$414.79,4905810,$414.89,$416.72,$408.78,2442
05/31/2024,$414.40,5197520,$408.09,$415.40,$406.88,2441
05/30/2024,$408.61,2907090,$403.77,$409.04,$402.7701,2440
05/29/2024,$404.09,3428787,$403.00,$405.87,$401.58,2439
