YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,0,0,185850,New
2004,20,20313,139900,Autotrader
2004,20,21180,133777,Autotrader
2005,19,7994,154991,Autotrader
2007,17,40301,146997,Autotrader
2007,17,30451,119750,Autotrader
2011,13,8350,174999,Autotrader
2014,10,24596,130000,Autotrader
2015,9,5122,157900,Autotrader
2015,9,17345,148900,Autotrader
2016,8,18258,149117,Autotrader
2016,8,41292,132900,Autotrader
2018,6,6453,219890,Autotrader
2018,6,4850,215500,Autotrader
2018,6,10804,186900,Autotrader
2018,6,16420,184888,Autotrader
2022,2,7618,289998,Autotrader
2022,2,1589,277000,Autotrader
2023,1,90,314900,Autotrader
2023,1,231,281995,Autotrader
